model,dataset,method,node_sample_ratio,readout,val_f1_macro,summary.best_val/f1_macro_std,summary.best_val/f1_weighted,summary.best_val/f1_weighted_std,summary.best_val/accuracy,summary.best_val/accuracy_std,summary.best_val/auroc,summary.best_val/auroc_std,summary.best_test/f1_macro,summary.best_test/f1_macro_std,summary.best_test/f1_weighted,summary.best_test/f1_weighted_std,summary.best_test/accuracy,summary.best_test/accuracy_std,summary.best_test/auroc,summary.best_test/auroc_std
GATv4,addneuromed,correlation,0.3,NoReadOut,0.4789129892985026,0.0497785774521511,0.4871211449305216,0.0478617576896086,0.4835680623849233,0.040658449546742,0.6491726636886597,0.0257904206227028,0.437004695336024,0.0918080448649525,0.4384471178054809,0.0904261307684307,0.4444444378217061,0.0867360912647406,0.6439643502235413,0.0629510722237081
GATv4,addneuromed,correlation,0.3,OmicsReadOut,0.5105954309304556,0.0151432274341157,0.5172217488288879,0.0140018237494699,0.5187793374061584,0.0107572412833601,0.6591963768005371,0.0234607072068811,0.5278774897257487,0.0257065782027479,0.5354732473691305,0.0263623199740525,0.5324074228604635,0.021215638333788,0.6880886952082316,0.0169262287901275
GATv4,addneuromed,correlation,0.5,NoReadOut,0.4444905718167622,0.0283258106245721,0.453208327293396,0.0262636072722789,0.4530516465504964,0.0203292333765604,0.6340238451957703,0.0176152433845711,0.3775831957658132,0.0484150424461304,0.3770611087481181,0.0463368140844023,0.3888888855775197,0.0416666716337212,0.6307270328203837,0.032134430506581
GATv4,addneuromed,correlation,0.5,OmicsReadOut,0.5251965820789337,0.0346029591368065,0.535133977731069,0.0289036147792116,0.5422535141309103,0.0140844881534681,0.6952852209409078,0.0112919294390758,0.4745731651782989,0.052175964437939,0.4860333204269409,0.0487407626449206,0.4861111144224803,0.0500771083953796,0.6767261226971945,0.0450777466752684
GATv4,addneuromed,correlation,0.8,NoReadOut,0.4491125245889028,0.0340090034710668,0.4634066720803578,0.02986740638582,0.4671361446380615,0.0177226139881347,0.6253091096878052,0.0320610150681865,0.4604067901770274,0.0313296504634518,0.4646257162094116,0.0304550568502574,0.467592587073644,0.0320750130431593,0.645496129989624,0.0518125503544882
GATv4,addneuromed,correlation,0.8,OmicsReadOut,0.4948938190937042,0.029834397479954,0.5104249715805054,0.0263739518113219,0.5211267669995626,0.0121975331433847,0.6842171748479208,0.0132032204266257,0.5172141095002493,0.0202870542534856,0.5268108050028483,0.0233658384019435,0.5277777910232544,0.0240562726871536,0.7151920199394226,0.0170951790877507
GATv4,addneuromed,correlation,1.0,NoReadOut,0.4582610925038655,0.0387535675143235,0.4648736516634623,0.0359695839256121,0.4671361446380615,0.0293192454447498,0.6285770336786906,0.0157802582026759,0.4119940598805745,0.0374703783875584,0.41238467892011,0.0405532266597791,0.4166666666666667,0.0367465466127982,0.6339734594027201,0.023925393509097
GATv4,addneuromed,correlation,1.0,OmicsReadOut,0.5043787757555643,0.0230991460273297,0.515272855758667,0.0257010193763267,0.5164319177468618,0.0247315696271698,0.6654834747314453,0.0191722019403707,0.4924862086772918,0.0596077501279093,0.4939266542593638,0.0540941037634156,0.5000000099341074,0.0500771125282194,0.6971878806749979,0.0444991820334907
GATv4,addneuromed,distance_correlation,0.3,NoReadOut,0.491513729095459,0.0201769591420857,0.5006554623444875,0.0210230077657965,0.5023474295934042,0.0247315865994349,0.6724438269933065,0.0028599358397748,0.4748481611410777,0.0371884642177652,0.48252734541893,0.032294857505884,0.4768518507480621,0.0349529400512391,0.6735253930091858,0.018084486922356
GATv4,addneuromed,distance_correlation,0.3,OmicsReadOut,0.5385453303654989,0.0230857373067226,0.5512631138165792,0.0158852213053618,0.5610328515370687,0.0162634004663514,0.6980663736661276,0.0169732839099893,0.5051108797391256,0.0468122601661628,0.5158740878105164,0.0374191855742526,0.5277777910232544,0.0277777910232543,0.7123456796010336,0.048625879851431
